reg,orig,phones,reg,orig,phones
place,place,EY S,unlace,vnlace,AH S
bore,bare,AO R,fair,faire,EH R
noise,noyce,OY Z,voice,voice,OY S
play,playe,EY,bays,bayes,EY Z
swoon,swownd,UW N,ground,ground,AW N D
breast,brest,EH S T,beast,beast,IY S T
proved,d,UW V D,amooued,d,UW D
door,doore,AO R,bower,bowr,ER
extolled,extold,OW L D,world,world,ER L D
detest,detest,EH S T,beast,beast,IY S T
heats,heates,IY T S,threats,threats,EH T S
voice,voice,OY S,noise,noise,OY Z
brain,braine,EY N,sovereign,soueraine,AH N
horns,hornes,AO R N Z,turns,tournes,ER N Z
deawd,deawd,IY D,indewd,indewd,UW D
behaviour,hauiour,IY R,bower,bowre,ER
done,doon,AH N,soon,soone,UW N
deprived,d,AY V D,captived,d,IH V D
blended,blent,AH D,lent,lent,EH N T
form,forme,AO R M,adorn,adorne,AO R N
delight,delight,AY T,knights,knights,AY T S
mass,masse,AE S,was,was,AA Z
day,day,EY,hania,hania,AH
set,set,EH T,decked,deckt,EH K T
praxiteles,praxiteles,AH T L S,express,expresse,EH S
fordone,fordonne,OW N,overrun,ouerrunne,AH N
menevia,meneuia,AH,sway,sway,EY
entreat,entreat,IY T,threat,threat,EH T
smarts,smarts,AA R T S,hart,hart,AA R T
went,went,EH N T,instruments,instruments,AH N T S
were,were,ER,fear,feare,IH R
realms,realmes,IY L M Z,beams,beames,IY M Z
paramoures,paramoures,AO R Z,flowers,flowres,ER Z
en,ne,AH N,satyrane,satyrane,EY N
swords,swords,AO R D Z,words,words,ER D Z
en,ne,AH N,satyrane,satyrane,EY N
threat,threat,EH T,entreat,entreat,IY T
draught,draught,AE F T,reached,raught,IY CH T
appear,appeare,IH R,were,were,ER
fear,feare,IH R,were,were,ER
west,west,EH S T,left,left,EH F T
wilderness,wildernesse,AH S,addressed,addrest,EH S T
fared,d,EH R D,reward,reward,AO R D
breast,brest,EH S T,redressed,redrest,EH T
sire,syre,AY R,desire,desyre,ER
speed,speed,IY D,dread,drede,EH D
amiss,amisse,IH S,is,is,IH Z
flower,floure,ER,blandamour,blandamour,AO R
left,left,EH F T,rest,rest,EH S T
inquired,inquired,ER D,retired,retyred,AY R D
hearts,harts,AA R T S,dart,dart,AA R T
weariness,wearinesse,AH S,britonesse,britonesse,AH
become,become,AH M,whom,whom,UW M
wit,wit,IH T,amoretta,amoret,AH
hear,heare,IH R,were,were,ER
tenor,tenor,ER,demeanour,demeanor,AO R
muse,muse,UW Z,use,vse,UW S
despite,despight,AY T,knights,knights,AY T S
rise,rise,AY Z,life,life,AY F
recover,recoure,ER,blandamour,blandamour,AO R
bear,beare,EH R,were,were,ER
ywrought,ywrought,AW T,ybourhgt,ybrought,AO R HH T
sword,sword,AO R D,word,word,ER D
hunt,hunt,AH N T,wont,woont,OW N T
gyued,d,UW D,ud,ud,AH D
appear,appeare,IH R,were,were,ER
few,few,UW,near,neare,IH R
use,vse,UW S,news,newes,UW Z
adicia,adicia,AH,say,say,EY
comen,commen,AH N,overcome,ouercommen,AH M
transform,transforme,AO R M,turn,tourne,ER N
were,were,ER,hear,heare,IH R
appear,appeare,IH R,were,were,ER
weal,wele,IY L,fell,fell,EH L
hear,heare,IH R,er,nere,ER
corpse,corse,AO R P S,force,force,AO R S
fear,feare,IH R,were,were,ER
was,was,AA Z,mass,masse,AE S
scratched,scracht,AE CH T,washed,washt,AA SH T
sword,sword,AO R D,word,word,ER D
were,were,ER,uprear,vpreare,IH R
appeared,d,IH R D,heard,heard,ER D
chase,chace,EY S,was,was,AA Z
fear,feare,IH R,were,were,ER
case,case,EY S,was,was,AA Z
forlorn,forlorne,AO R N,return,retourne,ER N
part,part,AA R T,departed,depart,AH D
obstinate,obstinate,AH T,entreat,entreat,IY T
fears,feares,IH R Z,briars,breres,ER Z
them,them,EH M,men,men,EH N
feast,feast,IY S T,guest,guest,EH S T
were,were,ER,abeare,abeare,EH R
was,was,AA Z,lass,lasse,AE S
distraught,distraught,AO T,reached,raught,IY CH T
signs,signes,AY N Z,things,things,IH NG Z
