tcp_id,date,OK,ERROR,author,title
A12778,1596,2872,781,"Spenser, Edmund, 1552?-1599.","The faerie queene Disposed into twelue bookes, fashioning XII. morall vertues."
A12777,1590,1540,403,"Spenser, Edmund, 1552?-1599.","The faerie qveene disposed into twelue books, fashioning XII. morall vertues."
A51310,1647,569,483,"More, Henry, 1614-1687.",Philosophical poems by Henry More ...
A19903,1603,537,263,"Davies, John, 1565?-1618.","Microcosmos The discovery of the little world, with the government thereof. By Iohn Davies."
A15992,1621,504,215,"Aylett, Robert, 1583-1655?","The Song of Songs, which was Salomons metaphrased in English heroiks by way of dialogue. With certayne of the brides ornaments, viz. poeticall essayes vpon a diuine subiect. Whereunto is added a funerall elegie, consecrate to the memorie of that euer honoured Lord, Iohn, late Bishop of London. By R.A."
A51312,1642,433,331,"More, Henry, 1614-1687.","Psychodia platonica, or, A platonicall song of the soul consisting of foure severall poems ... : hereto is added a paraphrasticall interpretation of the answer of Apollo consulted by Amelius, about Plotinus soul departed this life / by H.M., Master of Arts and Fellow at Christs Colledge in Cambridge."
A00002,1625,297,96,"Aylett, Robert, 1583-1655?","The brides ornaments viz. fiue meditations, morall and diuine. 1. Knowledge, 2. zeale, 3. temperance, 4. bountie, 5. ioy."
A00024,1622,160,54,"Aylett, Robert, 1583-1655?","Peace with her foure garders Viz. fiue morall meditations: of concord, chastitie, constancie. Courtesie. Grauitie. Eschew euill, and doe good, seeke peace and ensue it."
A19906,1607,153,77,"Davies, John, 1565?-1618.","Yehovah summa totalis or, All in all, and, the same for euer: or, an addition to Mirum in modum. / By the first author, Iohn Dauies."
A00049,1622,153,76,"Aylett, Robert, 1583-1655?","Thrifts equipage Viz. fiue diuine and morall meditations, of 1. Frugalitie. 2. Prouidence. 3. Diligence. 4. Labour and care. 5. Death."
A19905,1602,139,61,"Davies, John, 1565?-1618.",Mirum in modum A glimpse of Gods glorie and the soules shape.
A69577,1679,118,79,"Woodford, Samuel, 1636-1700.","A paraphrase upon the Canticles, and some select hymns of the New and Old Testament with other occasional compositions in English verse / by Samuel Woodford ..."
A51291,1646,54,60,"More, Henry, 1614-1687.","Democritus Platonissans, or, An essay upon the infinity of worlds out of Platonick principles hereunto is annexed Cupids conflict, together with the Philosophers devotion, and a particular interpretation appertaining to the three last books of the Song of the soul / by H. More ..."
A16884,1600,51,67,"Albott, Robert, fl. 1600.","Englands Parnassus: or the choysest flowers of our moderne poets, with their poeticall comparisons Descriptions of bewties, personages, castles, pallaces, mountaines, groues, seas, springs, riuers, &c. Whereunto are annexed other various discourses, both pleasaunt and profitable."
A14770,1633,18,7,"Campion, Edmund, Saint, 1540-1581.","Tvvo histories of Ireland. The one written by Edmund Campion, the other by Meredith Hanmer Dr of Divinity"
A72345,1634,15,2,"Fowldes, William.","Batrachomyomachia: or: The wonderfull and bloudy battell betweene frogs and mice The occasion of their falling out: their preparation, munition, and resolution for the warres: the severall combats of every person of worth, with many other memorable accidents. Interlaced with divers pithy and morall sentences, no lesse pleasant to be read, then profitable to be observed. Paraphrastically done into English heroycall verse, by William Fowldes, late one of the cursitors of his Majesties high Court of Chancery."
A41227,1648,14,11,"Spenser, Edmund, 1552?-1599.","The faerie leveller, or, King Charles his leveller descried and deciphered in Queene Elizabeths dayes by her poet laureat Edmond Spenser, in his unparaleld poeme entituled, The faerie qveene, a lively representation of our times."
A03504,1603,14,2,"Fowldes, William.","The strange, vvonderfull, and bloudy battell betweene frogs and mise the occasion of their falling out: their preparation, munition, and resolution for the warres: the seuerall combats of euery person of worth; with many other memorable accidents. Interlaced with diuers pithy and morall sentences, no lesse pleasant to be read, then profitable to be obserued. Couertly decyphering the estate of these times. Paraphrastically done into English heroycall verse by W.F. C.C.C."
A93676,1648,13,11,"Spenser, Edmund, 1552?-1599.","The faerie leveller: or, King Charles his leveller descried and deciphered in Queene Elizabeths dayes. By her poet laureat Edmond Spenser, in his unparaleld poeme, entituled, The faerie queene. A lively representation of our times."
A61326,1678,9,18,"Philalethes, Eirenaeus.","Ripley reviv'd, or, An exposition upon Sir George Ripley's hermetico-poetical works containing the plainest and most excellent discoveries of the most hidden secrets of the ancient philosophers, that were ever yet published / written by Eirenæus Philalethes ..."
A04895,1637,9,11,"Knevet, Ralph, 1600-1671.","Funerall elegies; consecrated to the immortall memory, of the Right Honorable the Lady Katherine Paston, late wife to the truely noble, and heroicke, William Paston, of Oxned Esquire"
A68287,1595,8,11,"Barnfield, Richard, 1574-1627.","Cynthia VVith certaine sonnets, and the legend of Cassandra."
A51316,1651,6,3,"More, Henry, 1614-1687.","The second lash of Alazonomastix, laid on in mercie upon that stubborn youth Eugenius Philalethes, or, A sober reply to a very uncivill answer to certain observations upon Anthroposophia theomagica, and Anima magica abscondita"
A51300,1656,4,3,"More, Henry, 1614-1687.","Enthusiasmus triumphatus, or, A discourse of the nature, causes, kinds, and cure, of enthusiasme; written by Philophilus Parresiastes, and prefixed to Alazonomastix his observations and reply: whereunto is added a letter of his to a private friend, wherein certain passages in his reply are vindicated, and severall matters relating to enthusiasme more fully cleared."
A09204,1615,3,2,"Peacham, Henry, 1576?-1643?","Prince Henrie revived Or A poeme vpon the birth, and in honor of the hopefull yong Prince Henrie Frederick, first sonne and heire apparant to the most excellent princes, Frederick Count Palatine of the Rhine, and the mirrour of ladies, Princesse Elizabeth, his wife, only daughter to our Soueraigne Iames King of Great Brittaine, &c. By Henrie Peacham."
A12461,1624,2,2,"Smith, John, 1580-1631.","The generall historie of Virginia, New-England, and the Summer Isles with the names of the adventurers, planters, and governours from their first beginning. an⁰: 1584. to this present 1624. With the procedings of those severall colonies and the accidents that befell them in all their journyes and discoveries. Also the maps and descriptions of all those countryes, their commodities, people, government, customes, and religion yet knowne. Divided into sixe bookes. By Captaine Iohn Smith sometymes governour in those countryes & admirall of New England."
A17310,1621,2,1,"Burton, Robert, 1577-1640.","The anatomy of melancholy vvhat it is. VVith all the kindes, causes, symptomes, prognostickes, and seuerall cures of it. In three maine partitions with their seuerall sections, members, and subsections. Philosophically, medicinally, historically, opened and cut vp. By Democritus Iunior. With a satyricall preface, conducing to the following discourse."
A14083,1616,2,1,"D. T. (Daniel Tuvill), d. 1660.","Asylum veneris, or A sanctuary for ladies Iustly protecting them, their virtues, and sufficiencies from the foule aspersions and forged imputations of traducing spirits."
A51284,1653,2,0,"More, Henry, 1614-1687.","An antidote against atheisme, or, An appeal to the natural faculties of the minde of man, whether there be not a God by Henry More ..."
A89280,1653,2,0,"More, Henry, 1614-1687.","Conjectura cabbalistica or, a conjectural essay of interpreting the minde of Moses, according to a threefold cabbala: viz. literal, philosophical, mystical, or, divinely moral. By Henry More fellow of Christs College in Cambridge."
A51302,1660,2,0,"More, Henry, 1614-1687.","An explanation of the grand mystery of godliness, or, A true and faithfull representation of the everlasting Gospel of our Lord and Saviour Jesus Christ, the onely begotten Son of God and sovereign over men and angels by H. More ..."
A23301,1637,2,0,"Austin, William, 1587-1634.","Hæc homo wherein the excellency of the creation of woman is described, by way of an essay. By William Austin Esquire."
