n,rhyme_scheme
213,ababbcbccdcdee
201,aabbccddeeffgg
190,ababcdcdefefgg
114,abbaaccacbbcdd
95,abbaabbacdcdee
57,abbacdcddbbdaa
32,abbacddceffegg
30,abbaabbacddcee
21,ababbcbcdedeff
21,aabbccdeffgghh
21,ababbcbccdcdaa
20,ababcacadedeff
20,ababcdcdefefbb
19,aabbccddeefghh
18,ababcdcdefefaa
17,ababcdcdeaeaff
15,ababcbcbdedeff
15,ababcdcdceceff
15,abcbdedefgfghh
14,aabbcdeeffgghh
14,ababbcbccdcdbb
14,ababcdcdefefee
14,aabbccddeeffff
14,ababcdedfgfghh
14,aabbccddefgghh
14,ababcdcdaeaeff
14,ababbcbccdcdcc
14,ababcdcdebebff
14,ababababcdcdee
14,ababcdcdededff
14,ababcdcdefefdd
13,ababcdcddedeff
12,abbaaccacbbccc
12,aabbccddaaeeff
12,aabbccddeeffcc
12,aabbccddeeffaa
12,ababcdcdefefcc
12,aabbccaaddeeff
12,aabbccddddeeff
11,aabbccddbbeeff
11,ababcdcdefefff
11,abababbacdcdee
11,abbababacdcdee
11,abbaabcddccdee
10,ababcdcefgfghh
10,aabbccddeeffbb
10,aabbccddeebbff
10,abbaaccacbbcaa
10,aabbccddcceeff
10,ababcdcdefefgh
10,ababcdcdeeeeff
10,aaaaabbabaabcc
9,ababcdcdececff
9,abbaababcdcdee
9,aabbbbccddeeff
9,aaaabcbcdedeff
9,ababccccdedeff
9,ababcdcdefgfhh
9,aabbccddeeffgh
9,ababacacdedeff
8,abbaabbacbcbdd
8,ababbcbccdcdef
8,aabbccddeeaaff
8,ababbabacdcdee
8,abbaaccadedeff
8,aabbccddeeccff
8,abcbbdbddedeff
8,ababbabaacacdd
8,aabbccddeeddff
8,abacdedefgfghh
7,ababbcbccacadd
7,aaaaaaaabcbcdd
7,aabbccddeeeeff
7,ababcdcdbebeff
7,ababbcbccbcbdd
7,ababbaabcdcdee
7,ababbcbccdcddd
7,abbababacddcee
7,aabcddeeffgghh
6,aabbccddeeffdd
6,abbaabbabbbbcc
6,abbaabbaccdeed
6,abbaabbacdcdbb
6,aabbccccddeeff
6,ababbcbcccccdd
6,aabbccbbddeeff
6,abbaabbacdcddd
6,abbabaabcdcdee
5,abbaabbacdcdaa
5,abccddeeffgghh
5,abbaaaaaabbacc
5,abababbacddcee
5,abbaabbaccccdd
5,ababcdcdefeghh
5,ababcdcddededd
5,abbacdeddbbdaa
5,abbaabbacdcdcc
5,aaaaababbcbcdd
5,abbacddceeeeff
4,ababcdcdaeaeaa
4,ababbcbddedeff
4,abbaabbabcbcdd
4,aabbccaaddeeaa
4,ababbabacddcee
4,ababbcbdefefgg
4,ababcdcefbfbgg
4,aaaaaaaabccbdd
4,abbccddcdbbdee
4,aaaabbccddeeff
4,aaaabbccddaaee
4,abcaaddadccdee
4,aabbccddeeffee
4,ababacacdedeaa
4,ababbcbccdceff
4,abbaaccacbbcbb
4,aaaaaaaaaaaaaa
4,aabbaaccddeeff
4,abcbdedefghgii
4,abbccbbcdedeff
4,abbaabbacacadd
4,ababcdcdededbb
3,abababbacdceff
3,ababcbcbadadee
3,ababababcacadd
3,aaaaababbabacc
3,ababcdcdccccee
3,abbacdceebbeaa
3,abbaaccaaddaee
3,abbaaccadeedff
3,abbaaccacbbdee
3,abbbbcbccdcdee
3,abaccdcddedeff
3,abbaabbacddcdd
3,ababbcbccdccee
3,ababbcdcceceff
3,abbacaacdeedff
3,ababbcbccdcecc
3,ababcdcecfcfgg
3,abacdefeghghii
3,ababbcbcdedefg
3,abbacddceddeff
3,abbbcdcdefefgg
3,ababbaabcddcee
3,aabbccddaaeeaa
3,ababcdcdeafagg
3,abbaababbcbcdd
3,abbaabcddccddd
3,aabbccbbddeefg
3,aabbccdeffghii
3,abcbdedfghghii
3,aabbccddcceeaa
3,abbacddceffecc
3,abbaabbacdedff
3,abbacacaabbaaa
3,ababbbbbbcbcdd
3,abbbcddceffegg
3,abbccbbcdeedff
3,abbacbcbbbbbaa
3,aabbccddeeccdd
3,abbaabbcdedeff
3,ababacacadadee
3,abbaacbadedeff
3,abbaababcddcee
3,ababbcdcceceaa
3,ababcdcdebebdd
3,ababcacadedeaa
2,abababbacaacdd
2,abacdedefefegg
2,ababaccacddeff
2,ababcdcdeffegg
2,ababbbbbcdcdee
2,abbbbbbbbcbcdd
2,abacdedeefefgg
2,ababcdcdceceaa
2,aabbccccddccee
2,aabbccddeeaaee
2,abbaabbaaccadd
2,ababaccacdcdee
2,ababcdcdefegbb
2,ababcdbddedeff
2,ababbccbcdcdee
2,abbacddccbbcee
2,abbabaabcbcbdd
2,abcaaccadedeff
2,ababaaaacdcdaa
2,aabbccbbdeffgg
2,ababbcbcbdbdee
2,abcaaddadcccee
2,abbaaccacbbcde
2,ababbcbddeceff
2,abbaaccabccbcc
2,abbacddcabbaee
2,abacdedefgfgee
2,ababcbcbdbdbee
2,abbbcdcdceceaa
2,ababaaaaaaaacc
2,aaaabcbcdedebb
2,ababcdedbfbfgg
2,aabbccddebffgg
2,abbabcbccbbcaa
2,aaaaababcacacc
2,abbaabbaacacdd
2,abbacddceffedd
